"","species","decimalLatitude","decimalLongitude"
"395","Eurycea lucifuga",36.553002,-87.306035
"396","Eurycea lucifuga",36.553016,-87.306123
"397","Eurycea lucifuga",36.553036,-87.306129
"398","Eurycea lucifuga",36.552895,-87.306277
"399","Eurycea lucifuga",36.552955,-87.306347
"400","Eurycea lucifuga",36.552964,-87.306347
"401","Eurycea lucifuga",36.55312,-87.306125
"402","Eurycea lucifuga",36.55319,-87.306193
"403","Eurycea lucifuga",36.553207,-87.3063
"404","Eurycea lucifuga",36.553328,-87.306279
"405","Eurycea lucifuga",36.553293,-87.306214
"406","Eurycea lucifuga",36.553293,-87.306075
"407","Eurycea lucifuga",36.553207,-87.306129
"408","Eurycea lucifuga",36.553242,-87.30615
"409","Eurycea cirrigera",33.886483,-84.438012
"410","Eurycea bislineata",41.771878,-74.019366
"411","Eurycea bislineata",39.100461,-79.502577
"412","Eurycea bislineata",40.263062,-76.325355
"413","Eurycea cirrigera",38.689998,-86.708816
"414","Eurycea bislineata",39.571003,-79.405052
"415","Eurycea cirrigera",38.998793,-84.81004
"416","Eurycea tynerensis",36.066328,-94.071792
"417","Eurycea cirrigera",37.330042,-80.351682
"418","Eurycea lucifuga",35.97684,-87.002002
"419","Eurycea bislineata",42.507053,-76.425709
"420","Eurycea wilderae",35.264297,-82.897637
"421","Eurycea cirrigera",33.463881,-86.784212
"422","Eurycea cirrigera",39.049255,-84.102657
"423","Eurycea guttolineata",33.463178,-86.786052
"424",NA,33.800967,-84.314367
"425","Eurycea wilderae",35.752512,-83.210358
"426","Eurycea wilderae",35.753162,-83.206603
"427","Eurycea cirrigera",33.886478,-84.437912
"428","Eurycea cirrigera",37.635125,-76.695913
"429","Eurycea bislineata",40.505683,-74.870103
"430","Eurycea cirrigera",37.559448,-77.651627
"431","Eurycea cirrigera",37.904237,-84.36345
"432","Eurycea cirrigera",36.301164,-86.60888
"433","Eurycea cirrigera",37.904445,-84.363587
"434","Eurycea cirrigera",36.399468,-86.318381
"435","Eurycea lucifuga",36.557621,-92.80347
"436","Eurycea tynerensis",35.781403,-94.246854
"437","Eurycea tynerensis",35.78244,-94.244534
"438","Eurycea tynerensis",35.781971,-94.244089
